#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S68416    	68416	2026-067	2026-067A	P           	Peaksat	Peaksat	2026 Mar 30	A11790*	2026 Mar 30 1158:18	Earth	-	O	-	AUTH	GR	AUTH	Cubesat 3U	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     509	 	     512	 	 97.45 	 	LLEO/S	-	-
S68417    	68417	2026-067	2026-067B	P           	JACK-002	JACK-002	2026 Mar 30	A11790	2026 Mar 30 1157:08	Earth	-	O	-	COSMW	KR	COSMW	Cubesat 3U	-	       5 	 	      5 	 	       5 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     507	 	     512	 	 97.45 	 	LLEO/S	-	-
S68418    	68418	2026-067	2026-067C	P           	Optisat	Optisat	2026 Mar 30	A11790	2026 Mar 30 1159:05	Earth	-	O	-	PLANH	GR	PLANH	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     510	 	     512	 	 97.45 	 	LLEO/S	-	-
S68419    	68419	2026-067	2026-067D	P           	ARQSAT-1	Femto-1	2026 Mar 30	A11790	2026 Mar 30 1156:53	Earth	-	O	-	ARQM	E	ENDUR	Cubesat 1U?	-	       1 	?	      1 	?	       1 	?	   0.1 	 	  0.1 	 	    0.1 	 	Box	2026 Apr 14	     507	 	     512	 	 97.45 	 	LLEO/S	-	-
S68420    	68420	2026-067	2026-067E	P           	ERMIS 2	ERMIS 2	2026 Mar 30	A11790	2026 Mar 30 1157:49	Earth	-	O	-	NKUA	GR	NKUA	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 13	     592	 	     594	 	 97.76 	 	LLEO/S	-	-
S68421    	68421	2026-067	2026-067F	P           	Vireon 2	Vireon 2	2026 Mar 30	A11790	2026 Mar 30 1157:28	Earth	-	O	-	CLAAC	UK	CLAAC	Cubesat 16U EPIC	-	      20 	?	     20 	?	      20 	?	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 14	     512	 	     512	 	 97.45 	 	LLEO/S	-	-
S68422    	68422	2026-067	2026-067G	P           	BRO 19	BRO 19	2026 Mar 30	A11790	2026 Mar 30 1159:00	Earth	-	O	-	UNSEEN	F	GOMSP	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 14	     509	 	     512	 	 97.44 	 	LLEO/S	-	-
S68423    	68423	2026-067	2026-067H	P           	SPOQC	SPOQC	2026 Mar 30	A11790	2026 Mar 30 1159:41	Earth	-	O	-	HWU	UK	ISISBV	Cubesat 12U	-	      20 	?	     20 	?	      20 	?	   0.3 	 	  0.2 	 	    0.3 	 	Box	2026 Apr 14	     509	 	     512	 	 97.45 	 	LLEO/S	-	-
S68424    	68424	2026-067	2026-067J	P           	SpaceVan-002	SpaceVan-02	2026 Mar 30	A11790	2026 Mar 30 1208:58	Earth	-	O	-	EXOTR	F	NANAV	MP42	-	     125 	 	    120 	?	     125 	 	   0.3 	 	  0.5 	 	    3.5 	 	Box+ 2 pan	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68425    	68425	2026-067	2026-067K	P           	ERMIS 3	ERMIS 3	2026 Mar 30	A11790	2026 Mar 30 1158:36	Earth	-	O	-	NKUA	GR	NKUA	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68426    	NNA	2026-067	2026-067L	P       ?   	TES-23	TechEdSat 23	2026 Mar 30	A11790	2026 Mar 30 1158:07	Earth	-	O	-	ARC	US	ARC	Cubesat 1U	-	       1 	 	      1 	 	       1 	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	2026 Apr 14	     509	 	     512	 	 97.45 	 	LLEO/S	-	-
S68427    	68427	2026-067	2026-067M	P           	Emisar	Emisar	2026 Mar 30	A11790	2026 Mar 30 1202:28	Earth	-	O	-	RISERO	RO	RISERO	Cubesat 1U	-	       1 	?	      1 	?	       1 	?	   0.1 	 	  0.1 	 	    0.1 	 	Box	2026 Apr 14	     512	 	     516	 	 97.45 	 	LLEO/S	-	-
S68428    	68428	2026-067	2026-067N	P           	Out Of The Box	Out Of The Box	2026 Mar 30	A11790	2026 Mar 30 1201:44	Earth	-	O	-	SPLOCK	F	ENDUR	Cubesat 16U	-	      20 	?	     20 	?	      20 	?	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 14	     511	 	     513	 	 97.45 	 	LLEO/S	-	-
S68429    	68429	2026-067	2026-067P	P           	TROOP-F3	TROOP-F	2026 Mar 30	A11790	2026 Mar 30 1202:28	Earth	-	O	-	NSL	US	NSL	Cubesat 6U	-	      10 	?	     10 	?	      10 	 	   0.3 	 	  0.2 	 	    0.7 	 	Box+ 4 pan	2026 Apr 14	     512	 	     517	 	 97.45 	 	LLEO/S	-	-
S68430    	68430	2026-067	2026-067Q	P       ?   	Vega	SM-1.2	2026 Mar 30	A11790	2026 Mar 30 1200:58	Earth	-	O	-	UNKSE	S	UNKSE	Cubesat 3U?	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     512	 	     512	 	 97.45 	 	LLEO/S	-	-
S68431    	68431	2026-067	2026-067R	P           	Disco 2	Disco 2	2026 Mar 30	A11790	2026 Mar 30 1200:04	Earth	-	O	-	AARH	DK	AARH	Cubesat 3U	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     513	 	     514	 	 97.45 	 	LLEO/S	-	-
S68432    	68432	2026-067	2026-067S	P           	Jane Goodall	Nusat-53	2026 Mar 30	A11790	2026 Mar 30 1208:22	Earth	-	O	-	URUGUS	UY	URUGUS	Newsat V	-	      41.500	 	     38.500	 	      41.500	 	   0.813	 	  0.508	 	    0.813	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68433    	68433	2026-067	2026-067T	P           	T.MICROSAT-2	T.MICROSAT-2	2026 Mar 30	A11790	2026 Mar 30 1159:34	Earth	-	O	-	TRON/TASA	TW	TRON	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68434    	68434	2026-067	2026-067U	P           	Vireon 1	Cyclops-1	2026 Mar 30	A11790	2026 Mar 30 1159:54	Earth	-	O	-	CLAAC	UK	CLAAC	Cubesat 16U EPIC	-	      20 	?	     20 	?	      20 	?	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 14	     512	 	     513	 	 97.45 	 	LLEO/S	-	-
S68435    	68435	2026-067	2026-067V	P           	ION SCV Astounding Alexandra	ION SCV-019	2026 Mar 30	A11790	2026 Mar 30 1210:13	Earth	-	O	-	DORBIT	I	DORBIT	ION-SC	PM200	     150 	 	    150 	 	     220 	 	   0.4 	 	  0.4 	 	    0.4 	 	Box	2026 Apr 14	     511	 	     513	 	 97.45 	 	LLEO/S	-	-
S68436    	68436	2026-067	2026-067W	P           	Hawk 14B	Hawk 14B	2026 Mar 30	A11790	2026 Mar 30 1210:25	Earth	-	O	-	HE360	US	UTIAS	Hawk2G	-	      31 	?	     30 	 	      31 	 	   0.450	 	  0.3 	 	    1.0 	 	Box + 2 pan	2026 Apr 14	     511	 	     517	 	 97.44 	 	LLEO/S	-	-
