#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
S68437    	68437	2026-067	2026-067X	P           	Aiglonsat-1	Aiglonsat-1	2026 Mar 30	A11790	2026 Mar 30 1202:28	Earth	-	O	-	AIGLON	CH	AIGLON	Cubesat 1U	-	       1.700	 	      1.700	 	       1.700	 	   0.1 	 	  0.1 	 	    0.1 	 	Box	2026 Apr 14	     510	 	     512	 	 97.45 	 	LLEO/S	-	-
S68438    	NNA	2026-067	2026-067Y	P       ?   	Phobos	Phobos	2026 Mar 30	A11790	2026 Mar 30 1200:47	Earth	-	O	-	AETH	US	ENDUR	Cubesat 4U	-	       5 	?	      5 	?	       5 	?	   0.4 	 	  0.1 	 	    0.4 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68439    	NNA	2026-067	2026-067Z	P       ?   	Ghost Rider	Ghost Rider	2026 Mar 30	A11790	2026 Mar 30 1203:55	Earth	-	O	-	SANL	US	SANL	Cubesat 3U	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68440    	NNA	2026-067	2026-067AA	P       ?   	Harbinger	Harbinger	2026 Mar 30	A11790	2026 Mar 30 1201:39	Earth	-	O	-	UTU	US	UTU	Cubesat 3U	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68441    	68441	2026-067	2026-067AB	P           	Hawk 14C	Hawk 14C	2026 Mar 30	A11790	2026 Mar 30 1212:12	Earth	-	O	-	HE360	US	UTIAS	Hawk2G	-	      31 	?	     30 	 	      31 	 	   0.450	 	  0.3 	 	    1.0 	 	Box + 2 pan	2026 Apr 14	     512	 	     519	 	 97.45 	 	LLEO/S	-	-
S68442    	68442	2026-067	2026-067AC	P           	Branca Marques	Newsat-54	2026 Mar 30	A11790	2026 Mar 30 1202:11	Earth	-	O	-	URUGUS	UY	URUGUS	Newsat V	-	      41.500	 	     38.500	 	      41.500	 	   0.813	 	  0.508	 	    0.813	 	Box	2026 Apr 14	     512	 	     516	 	 97.45 	 	LLEO/S	-	-
S68443    	68443	2026-067	2026-067AD	P           	DB-WALI-WMU	Dream Big Constellation 1	2026 Mar 30	A11790	2026 Mar 30 1123:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68444    	68444	2026-067	2026-067AE	P           	SharjahSat-2	SharjahSat-2	2026 Mar 30	A11790	2026 Mar 30 1200:30	Earth	-	O	-	SHARJ	UAE	SHARJ	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68445    	68445	2026-067	2026-067AF	P           	DB-SKYFORGE CORE-TU	Dream Big Constellation 3	2026 Mar 30	A11790	2026 Mar 30 1123:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr 14	     512	 	     519	 	 97.44 	 	LLEO/S	-	-
S68446    	68446	2026-067	2026-067AG	P           	HADES-SA	Hades Spinnyone	2026 Mar 30	A11790	2026 Mar 30 1157:15	Earth	-	O	-	HYDRA	E	HYDRA	PocketQube 1P	-	       0.250	 	      0.250	 	       0.250	 	   0.050	 	  0.050	 	    0.1 	 	Box+2 ant	2026 Apr 14	     509	 	     512	 	 97.44 	 	LLEO/S	-	-
S68447    	68447	2026-067	2026-067AH	P           	IRIDE-MS1-Eaglet-2-14	IRIDE-MS1-Eaglet-2-14	2026 Mar 30	A11790	2026 Mar 30 1202:52	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     510	 	     512	 	 97.45 	 	LLEO/S	-	-
S68448    	68448	2026-067	2026-067AJ	P           	Hawk 14A	Hawk 14A	2026 Mar 30	A11790	2026 Mar 30 1208:29	Earth	-	O	-	HE360	US	UTIAS	Hawk2G	-	      31 	?	     30 	 	      31 	 	   0.450	 	  0.3 	 	    1.0 	 	Box + 2 pan	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68449    	68449	2026-067	2026-067AK	P           	IRIDE-MS1-Eaglet-2-9	IRIDE-MS1-Eaglet-2-9	2026 Mar 30	A11790	2026 Mar 30 1203:29	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68450    	68450	2026-067	2026-067AL	P           	IRIDE-MS1-Eaglet-2-13	IRIDE-MS1-Eaglet-2-13	2026 Mar 30	A11790	2026 Mar 30 1203:40	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68451    	68451	2026-067	2026-067AM	P           	IRIDE-MS1-Eaglet-2-10	IRIDE-MS1-Eaglet-2-10	2026 Mar 30	A11790	2026 Mar 30 1204:31	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68452    	68452	2026-067	2026-067AN	P           	IRIDE-MS1-Eaglet-2-16	IRIDE-MS1-Eaglet-2-16	2026 Mar 30	A11790	2026 Mar 30 1204:45	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68453    	68453	2026-067	2026-067AP	P           	IRIDE-MS1-Eaglet-2-11	IRIDE-MS1-Eaglet-2-11	2026 Mar 30	A11790	2026 Mar 30 1205:17	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     512	 	     517	 	 97.45 	 	LLEO/S	-	-
S68454    	68454	2026-067	2026-067AQ	P           	AISSAT-4	AISSAT-4	2026 Mar 30	A11790	2026 Mar 30 1203:10	Earth	-	O	-	KYST/STATS	N	UTIAS	Cubesat 6U	-	      12 	 	     12 	 	      12 	 	   0.3 	 	  0.2 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     514	 	 97.45 	 	LLEO/S	-	-
S68455    	68455	2026-067	2026-067AR	P           	DB-CHARMS-ND	Dream Big Constellation 4	2026 Mar 30	A11790	2026 Mar 30 1123:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr  7	     512	 	     516	 	 97.45 	 	LLEO/S	-	-
S68456    	68456	2026-067	2026-067AS	P           	Parus-6U1	Parus-6U-1	2026 Mar 30	A11790	2026 Mar 30 1159:11	Earth	-	O	-	TAIPT/TASA	TW	TAIPT	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     511	 	     512	 	 97.45 	 	LLEO/S	-	-
S68457    	NNA	2026-067	2026-067AT	P       ?   	Decimalsat-1	Decimalsat-1	2026 Mar 30	A11790	2026 Mar 30 1157:15	Earth	-	O	-	OCULLO	MY	OCULLO	PocketQube 1P	-	       0.250	 	      0.250	 	       0.250	 	   0.050	 	  0.050	 	    0.1 	 	Box+2 ant	2026 Apr 14	     508	 	     512	 	 97.45 	 	LLEO/S	-	-
S68458    	68458	2026-067	2026-067AU	P           	SAL-E	SAL-E	2026 Mar 30	A11790	2026 Mar 30 1158:31	Earth	-	O	-	CALP	US	CALP	Cubesat 3U	-	       5 	?	      5 	?	       5 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     510	 	     512	 	 97.45 	 	LLEO/S	-	-
S68459    	68459	2026-067	2026-067AV	P           	DB-GLOBE MISSION EARTH-UT	Dream Big Constellation 6	2026 Mar 30	A11790	2026 Mar 30 1123:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr 16	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68460    	68460	2026-067	2026-067AW	P           	COSMO	COSMO	2026 Mar 30	A11790	2026 Mar 30 1157:38	Earth	-	O	-	UCO	US	UCO	Cubesat 6UXL	-	      10 	?	     10 	?	      10 	?	   0.7 	 	  0.1 	 	    0.7 	 	Box	2026 Apr 14	     509	 	     512	 	 97.45 	 	LLEO/S	-	-
S68461    	68461	2026-067	2026-067AX	P           	IRIDE-MS1-Eaglet-2-12	IRIDE-MS1-Eaglet-2-12	2026 Mar 30	A11790	2026 Mar 30 1206:34	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     509	 	     512	 	 97.45 	 	LLEO/S	-	-
S68462    	68462	2026-067	2026-067AY	P           	IRIDE-MS1-Eaglet-2-15	IRIDE-MS1-Eaglet-2-15	2026 Mar 30	A11790	2026 Mar 30 1207:16	Earth	-	O	-	ASI/OHBI	I	OHBI	Eaglet	-	      25 	 	     25 	 	      25 	 	   0.6 	 	  0.3 	 	    2.0 	?	Box+2 pan	2026 Apr 14	     512	 	     518	 	 97.44 	 	LLEO/S	-	-
S68463    	68463	2026-067	2026-067AZ	P           	GARAI B	Innosat Unamuno	2026 Mar 30	A11790	2026 Mar 30 1206:00	Earth	-	O	-	SATLAN	E	OHBSE	Innosat	-	     115 	 	    115 	 	     115 	 	   1.0 	 	  0.9 	 	    5.3 	 	Box	2026 Apr 14	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68464    	68464	2026-067	2026-067BA	P           	FGN-100-D3	FGN-100-D3	2026 Mar 30	A11790	2026 Mar 30 1207:56	Earth	-	O	-	FERG	TR	FERG	FGN-100	-	     113 	 	    113 	 	     113 	 	   1.0 	 	  0.4 	?	    1.0 	?	Box	2026 Apr 14	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68465    	68465	2026-067	2026-067BB	P           	Hotsat-2	Hotsat-2	2026 Mar 30	A11790	2026 Mar 30 1208:17	Earth	-	O	-	SATVU	UK	SSTL	DarkCarb	H2O AOCS	     130 	 	    130 	 	     130 	 	   1.0 	?	  0.5 	?	    1.0 	?	Box+cone+1 pan?	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68466    	68466	2026-067	2026-067BC	P           	DB-PRECISIONFLIGHTWORKSP	Dream Big Constellation 2	2026 Mar 30	A11790	2026 Mar 30 1205:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr 14	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68467    	NNA	2026-067	2026-067BD	P       ?   	ERMIS 1	ERMIS 1	2026 Mar 30	A11790	2026 Mar 30 1157:21	Earth	-	O	-	NKUA	GR	NKUA	Cubesat 6U	-	      10 	?	     10 	?	      10 	?	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 14	     509	 	     512	 	 97.44 	 	LLEO/S	-	-
S68468    	68468	2026-067	2026-067BE	P           	DB-BECON-2-VU	Dream Big Constellation 5	2026 Mar 30	A11790	2026 Mar 30 1123:34	Earth	-	O	-	NSL	US	NSL	Thinsat 0.5U	-	       0.500	 	      0.500	 	       0.500	 	   0.050	 	  0.1 	 	    0.3 	 	Box+2 pan	2026 Apr 16	     512	 	     518	 	 97.45 	 	LLEO/S	-	-
S68469    	68469	2026-067	2026-067BF	P           	W-6	W-6	2026 Mar 30	A11790	2026 Mar 30 1209:17	Earth	2026 May 19 0600?	D	-	VARDA	US	VARDA	VW	-	     250 	?	     55 	 	     300 	 	   1.0 	 	  1.4 	 	    1.4 	 	Trunc cone	2026 Apr 14	     512	 	     515	 	 97.45 	 	LLEO/S	-	-
S68470    	68470	2026-067	2026-067BG	P           	Luna-2	Luna-2	2026 Mar 30	A11790	2026 Mar 30 1156:39	Earth	-	O	-	ASELSN	TR	ASELSN	Cubesat 6U?	-	      12 	?	     12 	?	      12 	?	   0.3 	 	  0.2 	 	    0.3 	 	Box	2026 Apr 14	     507	 	     512	 	 97.45 	 	LLEO/S	-	-
S68471    	68471	2026-067	2026-067BH	P           	Lemur-2-Deloitte-3	Lemur-2-Deloitte-3	2026 Mar 30	A11790	2026 Mar 30 1330:05	Earth	-	O	-	DELSP/SPIRE	US	SPIREG	Cubesat 6U	-	      10 	 	     10 	 	      10 	 	   0.3 	 	  0.2 	 	    0.3 	 	Box	2026 Apr 13	     593	 	     594	 	 97.75 	 	LLEO/S	-	-
S68472    	68472	2026-067	2026-067BJ	P           	Flylab-1	Flylab-1	2026 Mar 30	A11790	2026 Mar 30 1328:28	Earth	-	O	-	ONERA	F	NANAV	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.7 	 	Box+ 4 pan	2026 Apr 13	     593	 	     596	 	 97.75 	 	LLEO/S	-	-
S68473    	68473	2026-067	2026-067BK	P           	Vigoride-7	Vigoride-7 Nom4Dride	2026 Mar 30	A11790	2026 Mar 30 1208:03	Earth	-	O	-	MOMENT	US	MOMENT	Vigoride	AOCS	     363 	 	    292 	 	     363 	 	   1.2 	 	  0.5 	 	    6.5 	 	Box	2026 Apr 14	     512	 	     518	 	 97.44 	 	LLEO/S	-	-
S68474    	68474	2026-067	2026-067BL	P           	Black Kite 2	Black Kite 2	2026 Mar 30	A11790	2026 Mar 30 1328:08	Earth	-	O	-	TASA/RAPTEK	TW	RAPTEK	Cubesat 8U	-	      15 	?	     15 	?	      15 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 13	     593	 	     597	 	 97.76 	 	LLEO/S	-	-
S68475    	68475	2026-067	2026-067BM	P           	Unicorn-2S	Unicorn-2S	2026 Mar 30	A11790	2026 Mar 30 1328:21	Earth	-	O	-	ALBAD	D	ALBA	PocketQube 3P	-	       0.750	?	      0.750	?	       0.750	?	   0.150	 	  0.050	 	    0.450	 	Box+2 pan	2026 Apr 13	     588	 	     593	 	 97.75 	 	LLEO/S	-	-
S68476    	68476	2026-067	2026-067BN	P           	Lemur-2-Julia-Joel	Lemur-2-Julia-Joel	2026 Mar 30	A11790	2026 Mar 30 1328:51	Earth	-	O	-	SPIRE	US	SPIREG	Cubesat 3U	-	       7.600	 	      7.600	 	       7.600	 	   0.3 	 	  0.1 	 	    1.0 	 	Box+ 2 pan	2026 Apr 13	     586	 	     593	 	 97.76 	 	LLEO/S	-	-
S68477    	68477	2026-067	2026-067BP	P           	Unicorn-2R	Unicorn-2R	2026 Mar 30	A11790	2026 Mar 30 1328:21	Earth	-	O	-	ALBAD	D	ALBA	PocketQube 3P	-	       0.750	?	      0.750	?	       0.750	?	   0.150	 	  0.050	 	    0.450	 	Box+2 pan	2026 Apr 13	     593	 	     596	 	 97.75 	 	LLEO/S	-	-
S68478    	68478	2026-067	2026-067BQ	P           	FossaSat 2E-25	FossaSat-2E	2026 Mar 30	A11790	2026 Mar 30 1329:38	Earth	-	O	-	FOSSA	E	FOSSA	Cubesat 3U	-	       5 	 	      5 	 	       5 	 	   0.3 	 	  0.1 	 	    0.3 	 	Box	2026 Apr 13	     591	 	     593	 	 97.75 	 	LLEO/S	-	-
S68479    	68479	2026-067	2026-067BR	P           	Lemur-2-Peggy-2004	Lemur-2-Peggy-2004	2026 Mar 30	A11790	2026 Mar 30 1329:53	Earth	-	O	-	SPIRE	US	SPIREG	Cubesat 3U	-	       7.600	 	      7.600	 	       7.600	 	   0.3 	 	  0.1 	 	    1.0 	 	Box+ 2 pan	2026 Apr 13	     592	 	     593	 	 97.75 	 	LLEO/S	-	-
S68480    	68480	2026-067	2026-067BS	P           	Lemur-2-Irina	Lemur2-Irina	2026 Mar 30	A11790	2026 Mar 30 1328:15	Earth	-	O	-	SPIRE	US	SPIREG	Cubesat 3U	-	       7.600	 	      7.600	 	       7.600	 	   0.3 	 	  0.1 	 	    1.0 	 	Box+ 2 pan	2026 Apr 13	     588	 	     593	 	 97.75 	 	LLEO/S	-	-
S68481    	68481	2026-067	2026-067BT	P           	Toro-3	Toro-3	2026 Mar 30	A11790	2026 Mar 30 1329:20	Earth	-	O	-	TASA	TW	PYRAS	Cubesat 8U	-	      12 	 	     12 	 	      12 	 	   0.4 	 	  0.2 	 	    0.4 	 	Box	2026 Apr 13	     590	 	     593	 	 97.76 	 	LLEO/S	-	-
S68482    	68482	2026-067	2026-067BU	P           	Sejong-3	Lemur-2 Sejong-3	2026 Mar 30	A11790	2026 Mar 30 1328?	Earth	-	O	-	HANCOM	KR	SPIREG	Cubesat 6U	-	      11 	 	     11 	 	      11 	 	   0.3 	 	  0.2 	 	    1.0 	 	Box+ 2 pan	2026 Apr 14	     593	 	     599	 	 97.76 	 	LLEO/S	-	-
S68483    	68483	2026-067	2026-067BV	P           	Lemur-2-Clara	Lemur-2-Clara	2026 Mar 30	A11790	2026 Mar 30 1328:34	Earth	-	O	-	SPIRE	US	SPIREG	Cubesat 3U	-	       7.600	 	      7.600	 	       7.600	 	   0.3 	 	  0.1 	 	    1.0 	 	Box+ 2 pan	2026 Apr 13	     589	 	     593	 	 97.75 	 	LLEO/S	-	-
S68484    	68484	2026-067	2026-067BW	P           	Vindler 2.0.2	Vindler 2.0.2	2026 Mar 30	A11790	2026 Mar 30 1331:29	Earth	-	O	-	SIENV	US	MUON	Muon Halo	-	     130 	?	    130 	?	     130 	?	   1.2 	 	  0.8 	 	    4.9 	 	Box+ 2 pan	2026 Apr 13	     593	 	     594	 	 97.75 	 	LLEO/S	-	-
S68485    	68485	2026-067	2026-067BX	P           	Capella 20	Acadia-10	2026 Mar 30	A11790	2026 Mar 30 1332:01	Earth	-	O	-	CAPSP	US	CAPSP	Acadia	-	     180 	?	    150 	?	     180 	 	   0.5 	 	  0.3 	?	    3.5 	 	Box+ pan + Dish+boom	2026 Apr 13	     592	 	     595	 	 97.76 	 	LLEO/S	-	-
S68486    	68486	2026-067	2026-067BY	P           	Vindler 2.0.3	Vindler 2.0.3	2026 Mar 30	A11790	2026 Mar 30 1332:28	Earth	-	O	-	SIENV	US	MUON	Muon Halo	-	     130 	?	    130 	?	     130 	?	   1.2 	 	  0.8 	 	    4.9 	 	Box+ 2 pan	2026 Apr 13	     593	 	     593	 	 97.75 	 	LLEO/S	-	-
