rank,norad,intdes,name,gcat_name,gcat_owner,mass_kg,length_m,diam_m,span_m,sep_raw,sep_dt_s,alt_km,inc_deg,raan_deg,bstar,bstar_ratio_vs_8U,ndot,epoch,am_est,am_ratio_vs_toro2,twin_of,score_A_physical,score_B_gcat,score_C_drag,score_D_sep,score_E_am,score
1,66765,25276DD,TRANSPORTER-15 OBJECT DD,WISDOM B,C3S,5.0,0.3,0.1,0.3,2025 Nov 28 1942:55,226.0,488.8630514379802,97.4144,330.9576,0.00032963,1.5587553790135715,8.314e-05,2026-09-14T10:42:55,0.018547032051852073,1.448986879050943,,0.0,0.0,1.0,0.0,1.0,0.9
2,66691,25276AB,TRANSPORTER-15 OBJECT AB,TRYAD 1,AUBU/UAH,12.0,0.3,0.2,0.3,2025 Nov 28 1941:10,121.0,499.1983855226008,97.4125,330.0544,0.00029448999999999995,1.392585236676597,6.698e-05,2026-09-14T15:34:18,0.014388109378783143,1.124071045217433,66761,0.5,0.0,1.0,0.5,0.6,0.65
3,66761,25276CZ,TRANSPORTER-15 OBJECT CZ,TRYAD 2,AUBU/UAH,12.0,0.3,0.2,0.3,2025 Nov 28 1939:34,25.0,494.9445342441877,97.4106,330.8303,0.00034684,1.640138081051686,8.238e-05,2026-09-14T22:11:45,0.014701820369007747,1.1485797163287301,66691,0.5,0.0,1.0,0.5,0.6,0.65
4,66676,25276L,TRANSPORTER-15 OBJECT L,HCT-SAT2,HCT/MBRSC,1.0,0.1,0.1,0.1,2025 Nov 28 1940:51,102.0,506.60419800782347,97.40960000000001,329.5817,0.00021589,1.0209013098784696,4.551e-05,2026-09-14T22:19:33,0.00942605373740358,0.7364104482346546,,0.0,0.0,1.0,0.5,0.5,0.575
5,66750,25276CN,TRANSPORTER-15 OBJECT CN,CTC-1C,SPCOIN/ARROW,21.0,0.4,0.2,0.4,2025 Nov 28 1944:12,303.0,504.4817922500024,97.4152,330.2166,0.00017039000000000003,0.8057407670118694,3.65e-05,2026-09-14T22:40:34,0.007163558621043004,0.5596530172689846,,1.0,0.0,1.0,0.0,0.5,0.525
6,66759,25276CX,TRANSPORTER-15 OBJECT CX,Phasma-Lamarr,LIBRE/ELKED,5.0,0.3,0.1,0.3,2025 Nov 28 1942:14,185.0,500.20760318441535,97.4093,329.86710000000005,0.00020705000000000002,0.9790986901215303,4.64e-05,2026-09-14T11:04:10,0.010057827635006357,0.7857677839848716,,0.0,0.0,1.0,0.0,0.5,0.525
7,66690,25276AA,TRANSPORTER-15 OBJECT AA,SPiN 2,SPINL,5.0,0.3,0.1,0.3,2025 Nov 28 1941:08,119.0,506.7732879595678,97.4108,329.373,0.00017762,0.839930013713529,3.725e-05,2026-09-14T15:33:03,0.008026166647417267,0.627044269329474,"66760,66773",0.0,0.0,1.0,0.5,0.3,0.425
8,66760,25276CY,TRANSPORTER-15 OBJECT CY,PW-6U,SATRV,12.0,0.3,0.2,0.3,2025 Nov 28 1941:21,132.0,502.9647434509743,97.4114,329.6251,0.00017259,0.8161441339197049,3.753e-05,2026-09-14T08:29:58,0.007770349690786906,0.607058569592727,"66690,66773",0.5,0.0,1.0,0.5,0.3,0.425
9,66773,25276DM,TRANSPORTER-15 OBJECT DM,CTC-1A,SPCOIN/ARROW,21.0,0.4,0.2,0.4,2025 Nov 28 1941:36,147.0,502.285756241994,97.41480000000001,329.6215,0.00016691,0.7892845320849293,3.651e-05,2026-09-14T02:29:51,0.007710708497540519,0.602399101370353,"66690,66760",1.0,0.0,1.0,0.5,0.3,0.425
