norad,name,gcat_name,gcat_mass,massflag,bus,shape,n_tle,n_rejected,da_dt_km_day,fit_resid_km,alt_km,rho_kg_m3,cd_am,am,ratio_to_toro2_tumbling,closest_hyp,unknown
68482,LEMUR-2-SEJONG-3,Sejong-3,11.0,,Cubesat 6U,Box+ 2 pan,70,0,-0.021948858748923872,0.0034483700405871787,591.3124550121405,1.7068016878648802e-13,0.028242012233255974,0.012837278287843623,1.6338354184528245,最大面迎風（帆板+本體）,False
68457,TRANSPORTER-16 OBJECT AT,Decimalsat-1,0.25,,PocketQube 1P,Box+2 ant,61,0,-0.06697842903847871,0.008020135162951192,511.8551689912907,5.398747746553983e-13,0.027403321515834824,0.012456055234470374,1.5853161207507749,最大面迎風（帆板+本體）,True
68498,IO-1,IO-1,8.0,?,Cubesat 4U,Box+boom,68,0,-0.01945322210972719,0.00442184575877036,595.4468362284022,1.5856908193740158e-13,0.026934593563400853,0.012242997074273114,1.5581996276347598,最大面迎風（帆板+本體）,False
68420,ERMIS-2,ERMIS 2,10.0,?,Cubesat 6U,Box,69,0,-0.06519391814454308,0.011006117028955487,510.9218319540247,5.51466191872589e-13,0.02611436291819651,0.011870164962816595,1.5107482679948392,最大面迎風（帆板+本體）,False
68468,ERMIS-1,DB-BECON-2-VU,0.5,,Thinsat 0.5U,Box+2 pan,73,0,-0.05587010825614873,0.011428036192228319,516.8073597668961,4.934838968817248e-13,0.024998304246187104,0.011362865566448683,1.446182890275287,最大面迎風（帆板+本體）,False
68485,CAPELLA-20 (ACADIA-10),Capella 20,180.0,?,Acadia,Box+ pan + Dish+boom,66,0,-0.018471579537080417,0.07236897173334,593.022302331541,1.6536342831746388e-13,0.024528912068734594,0.011149505485788452,1.41902797091853,最大面迎風（帆板+本體）,False
68427,EMISAR,Emisar,1.0,?,Cubesat 1U,Box,65,0,-0.059268834484957476,0.010006166441598907,511.9008334150416,5.396288868364397e-13,0.02425998994283277,0.011027268155833075,1.4034704925605732,最大面迎風（帆板+本體）,False
68466,DB-PFW,DB-PRECISIONFLIGHTWORKSP,0.5,,Thinsat 0.5U,Box+2 pan,72,0,-0.05390849833081296,0.009946055181444535,516.7116893683025,4.970204833668805e-13,0.02394917263846206,0.010885987562937299,1.3854893261920198,最大面迎風（帆板+本體）,False
68496,ICEYE-X73,CA-01,120.0,,ICEYE,Box + pan,76,0,-0.017174660253023367,0.006820174173299165,593.2847657889411,1.6471418582714932e-13,0.022896126207068778,0.010407330094122171,1.324569284706458,最大面迎風（帆板+本體）,False
68458,SAL-E,SAL-E,5.0,?,Cubesat 3U,Box,66,0,-0.051405747603788396,0.008841042098993057,516.3517164761839,4.993238321347811e-13,0.02273251539524096,0.010332961543291344,1.3151041964188983,最大面迎風（帆板+本體）,False
68494,ICEYE-X71,ICEYE-X71,120.0,,ICEYE,Box + pan,72,0,-0.01645335851740756,0.004996083122478012,594.9873873256894,1.596779077440045e-13,0.022623587288869523,0.010283448767667965,1.3088025704304682,最大面迎風（帆板+本體）,False
68431,DISCO-2,Disco 2,5.0,?,Cubesat 3U,Box,68,0,-0.054400377818798196,0.011985612779881194,512.4380283445464,5.341691321449358e-13,0.022493936485334827,0.010224516584243103,1.3013021107218494,最大面迎風（帆板+本體）,False
68470,LUNA-2,Luna-2,12.0,?,Cubesat 6U?,Box,68,0,-0.049942048463587414,0.00997745363292779,516.9940957347707,4.92882564249097e-13,0.022372805540345583,0.010169457063793446,1.294294535391893,最大面迎風（帆板+本體）,False
68474,BLACK KITE-2,Black Kite 2,15.0,?,Cubesat 8U,Box,69,0,-0.017103157420086813,0.0043321827024556114,592.1268819621787,1.6830200350448483e-13,0.022316601633938237,0.01014390983360829,1.2910430697319641,最大面迎風（帆板+本體）,False
68497,ICEYE-X75,ICEYE-X75,120.0,,ICEYE,Box + pan,74,0,-0.016174535895590068,0.004968056054622139,593.3463366428989,1.6460374424309036e-13,0.021577206578314474,0.009807821171961124,1.2482681491586884,最大面迎風（帆板+本體）,False
68502,ICEYE-X76,ICEYE-X76,120.0,,ICEYE,Box + pan,74,0,-0.015691486075951885,0.004417465836922929,594.6416854798366,1.6063172577857686e-13,0.021448418581428517,0.009749281173376598,1.2408176038842942,最大面迎風（帆板+本體）,False
68460,COSMO,COSMO,10.0,?,Cubesat 6UXL,Box,71,0,-0.047918783597639285,0.009890179491776507,516.5371561023782,4.972647302167176e-13,0.021277978250678703,0.009671808295763046,1.2309574194607513,最大面迎風（帆板+本體）,False
68501,N1-ATLAS,N1-Atlas,13.0,,Cubesat 6U,Box+ 2 pan,71,0,-0.015297871686186813,0.0023105462814783095,595.4651989509737,1.580329930349809e-13,0.02125299017718337,0.009660450080537895,1.2295118284320956,最大面迎風（帆板+本體）,False
68451,IRIDE-MS1-EAGLET 2-10,IRIDE-MS1-Eaglet-2-10,25.0,,Eaglet,Box+2 pan,73,0,-0.0507691462153713,0.007112748790859769,512.9189207876491,5.312666250124442e-13,0.021106493243408294,0.009593860565185587,1.2210367992054383,最大面迎風（帆板+本體）,False
68461,IRIDE-MS1-EAGLET 2-12,IRIDE-MS1-Eaglet-2-12,25.0,,Eaglet,Box+2 pan,72,0,-0.048783857037628504,0.007183614054156351,514.8739732502698,5.125870187987829e-13,0.02101694794900347,0.00955315815863794,1.215856492917556,最大面迎風（帆板+本體）,False
68452,IRIDE-MS1-EAGLET 2-16,IRIDE-MS1-Eaglet-2-16,25.0,,Eaglet,Box+2 pan,73,0,-0.04842431628381703,0.007446172125128214,515.1067574572945,5.110564048320245e-13,0.020924425786997228,0.009511102630453284,1.2105039711485996,最大面迎風（帆板+本體）,False
68462,IRIDE-MS1-EAGLET 2-15,IRIDE-MS1-Eaglet-2-15,25.0,,Eaglet,Box+2 pan,74,0,-0.0496297030755032,0.008368308119770518,513.379141121681,5.258698709221098e-13,0.020843843800610915,0.009474474454823143,1.2058422033411271,最大面迎風（帆板+本體）,False
68450,IRIDE-MS1-EAGLET 2-13,IRIDE-MS1-Eaglet-2-13,25.0,,Eaglet,Box+2 pan,73,0,-0.049858610764316094,0.0074281494389651925,513.1104994432652,5.288202930816428e-13,0.020823546730062825,0.009465248513664919,1.2046679926482622,最大面迎風（帆板+本體）,False
68449,IRIDE-MS1-EAGLET 2-9,IRIDE-MS1-Eaglet-2-9,25.0,,Eaglet,Box+2 pan,73,0,-0.048083201358471835,0.008527712031536794,515.3028533092823,5.100279341553481e-13,0.020818651776246228,0.009463023534657375,1.2043848135018476,最大面迎風（帆板+本體）,False
