norad,intdes,name,gcat_name,gcat_owner,mass_kg,length_m,diam_m,span_m,shape,sep_raw,epoch,alt_km,inc_deg,raan_deg,ecc,mm_rev_day,ndot,bstar,unknown
66694,25276AE,YAM-9,YAM-9,LOFT/EDA,150.0,1.3,1.0,5.0,Trapezoid+2 pan,2025 Nov 28 2004:45,2026-09-14T11:20:02,518.7950806848812,97.41350000000001,327.9035,0.0008677,15.15719501,4.167e-05,0.00022192999999999998,False
66762,25276DA,HYDROGNSS-1,HydroGNSS-1,ESA,65.0,0.7,0.5,1.5,Box +3 pan,2025 Nov 28 2004:02,2026-09-14T15:05:19,530.4974385270734,97.41220000000001,327.5076,0.0012491,15.11869975,2.176e-05,0.00013068,False
66763,25276DB,HYDROGNSS-2,HydroGNSS-2,ESA,65.0,0.7,0.5,1.5,Box +3 pan,2025 Nov 28 2007:32,2026-09-14T15:54:34,530.5465834419192,97.4124,327.472,0.0012318,15.118538430000001,2.29e-05,0.00013738000000000002,False
66755,25276CT,ICEYE-X62,ICEYE-X62,ICEYE,120.0,0.8,0.6,1.5,Box + pan,2025 Nov 28 2005:50,2026-09-14T04:16:36,534.8924768130819,97.4124,326.5867,0.0003891,15.10428421,1.384e-05,8.7929e-05,False
66753,25276CR,ICEYE-X60,ICEYE SAR-2,ELKED,120.0,0.8,0.6,1.5,Box + pan,2025 Nov 28 2003:25,2026-09-14T22:23:55,536.5466482895245,97.4121,327.8569,0.0003915,15.09886453,4.749e-05,0.00029693000000000005,False
66752,25276CQ,ICEYE-X59,ICEYE SAR-1,ELKED,120.0,0.8,0.6,1.5,Box + pan,2025 Nov 28 2010:05,2026-09-14T14:38:17,562.4676137213683,97.4513,325.1574,0.0001447,15.01435932,3.434e-05,0.00027034000000000004,False
66666,25276A,FORMOSAT-8A,Formosat-8A,TASA,380.0,1.6,1.2,4.4,Box + 2 pan,2025 Nov 28 2104:26,2026-09-14T03:28:09,563.6139179358161,97.6543,330.0521,0.000605,15.01064045,1.296e-05,0.00010603,False
66787,25276EB,LEMUR-2-MYRA,Lemur-2 Myra,SPIRE/LACU,5.0,0.4,0.1,0.4,Box,2026 Feb 19?,2026-09-14T03:24:52,563.7760656803239,97.5312,325.1863,0.0016068,15.01011453,5.548e-05,0.00043782,False
66782,25276DW,LEMUR-2-FINNIAN,Lemur-2-Finnian,SPIRE/LACU,5.0,0.4,0.1,0.4,Box,2026 Feb 16?,2026-09-14T10:15:15,563.8216390652324,97.5235,325.6576,0.0010721,15.00996672,3.764e-05,0.00029912,False
66785,25276DZ,LEMUR-2-VUKASIN,Lemur-2-Vukasin,SPIRE/LACU,5.0,0.4,0.1,0.4,Box,2026 Feb 19?,2026-09-14T15:28:16,563.848164531737,97.5038,325.6439,0.0005888,15.00988069,4.183e-05,0.00033218,False
66781,25276DV,LEMUR-2-CELIJO-SB-PK,Lemur-2-Celijo-SB-PK,SPIRE/LACU,5.0,0.4,0.1,0.4,Box,2026 Feb 16?,2026-09-14T22:23:10,564.1743223752219,97.51470000000002,325.7417,0.0001821,15.00882293,5.868e-05,0.00046549000000000004,False
66783,25276DX,LEMUR-2-STARLIGHT,Lemur-2 Starlight,SPIRE,7.6,0.3,0.1,1.0,Box+ 2 pan,2026 Feb 16?,2026-09-14T15:45:48,567.3919226126691,97.51410000000001,325.2502,0.0016477,14.998394610000002,4.441e-05,0.00036224,False
66784,25276DY,LEMUR-2-TARTIFLETTE,Lemur-2 Tartiflette,SPIRE,7.6,0.3,0.1,1.0,Box+ 2 pan,2026 Feb 16?,2026-09-14T15:43:31,567.4324150447337,97.5145,325.2582,0.0015238,14.998263450000001,3.682e-05,0.00030134,False
66786,25276EA,LEMUR-2-HOTSPUR-TOM,Lemur-2 Hotspur-Tom,SPIRE,7.6,0.3,0.1,1.0,Box+ 2 pan,2026 Feb 19?,2026-09-14T22:05:17,567.6399186911322,97.5132,325.4701,0.0015659,14.99759135,5.014e-05,0.00040930000000000003,False
67483,25276ED,ION SCV-021,ION Stellar Stephanus,DORBIT,150.0,0.4,0.4,0.4,Box,2025 Nov 28 2008:23,2026-09-14T15:04:57,572.8892151477139,97.51730000000002,324.8139,0.0009969,14.98060567,3.03e-06,3.0334e-05,False
66682,25276S,ION SCV-022,ION Galactic Georgius,DORBIT,150.0,0.4,0.4,0.4,Box,2025 Nov 28 2006:23,2026-09-14T10:15:21,572.9407043443443,97.5222,324.8986,0.0004202,14.980439220000001,6.9e-07,1.0546999999999999e-05,False
